date,spectral_radius,spectral_gap,mean_correlation,modularity,avg_clustering,avg_degree,regime,sr_exceed_q90,mc_red,mod_breakdown,any_warning
2025-11-05,23.38766685096121,11.12049492473664,0.23157915631504328,0.44797441184424014,0.44179920050127713,6.94949494949495,unknown,False,False,False,False
2025-11-06,22.960137107703382,10.120056974816148,0.22839482667718666,0.4528418549346016,0.4140541895541753,5.858585858585859,unknown,False,False,False,False
2025-11-07,23.035812779982827,10.2725879022293,0.22853108206371003,0.4402328845226086,0.42288767947182754,6.101010101010101,unknown,False,False,False,False
2025-11-10,23.469467271060317,10.80391193740385,0.2316570446087059,0.42461988986620547,0.4217268587445249,6.202020202020202,unknown,False,False,False,False
2025-11-11,23.495162806107615,10.916785146123665,0.23120046704638403,0.4381209871692807,0.42661415387097296,6.282828282828283,unknown,False,False,False,False
2025-11-12,23.50535394769384,11.042740962792557,0.2307961304237063,0.4382538046576904,0.4402103111445696,6.101010101010101,unknown,False,False,False,False
2025-11-13,23.520352572545505,11.041582176786815,0.2308636116000961,0.4313411539173719,0.41558438610597026,6.121212121212121,unknown,False,False,False,False
2025-11-14,23.604039927049314,11.071714552065554,0.23169291006315554,0.47805322524900246,0.4067624673904527,6.242424242424242,unknown,False,False,False,False
2025-11-17,24.342708238515208,11.835008646191952,0.23813945595514346,0.4543222497056435,0.40890936737259703,6.686868686868687,unknown,False,False,False,False
2025-11-18,24.013285471981007,11.42907530206454,0.2361064561263808,0.466621363949856,0.44709616591074186,6.343434343434343,unknown,False,False,False,False
2025-11-19,23.77173351029647,11.19479461118695,0.23419825005564923,0.4454807342082317,0.4058002812931899,6.08080808080808,unknown,False,False,False,False
2025-11-20,23.546074556023413,10.898516948947872,0.23231768684249804,0.43724999999999997,0.40322358315701357,6.0606060606060606,unknown,False,False,False,False
2025-11-21,24.23299013547264,11.637053815813942,0.23724937798498888,0.43982635180570384,0.4226227796336951,6.424242424242424,unknown,False,False,False,False
2025-11-24,25.80081954493886,13.37742943052682,0.2501946143437572,0.41661011867188485,0.4355699498450538,7.191919191919192,unknown,False,False,False,False
2025-11-25,25.937501061941568,13.553301341294798,0.251542712267159,0.42223993182678954,0.4223166430304305,7.191919191919192,unknown,False,False,False,False
2025-11-26,26.07250650673066,13.784866323770903,0.25270121482604935,0.40844008480396543,0.4291622150920274,7.393939393939394,unknown,False,False,False,False
2025-11-27,26.010737379284187,13.836241331356657,0.25208294677068677,0.45437486345619676,0.42036221105152444,7.232323232323233,unknown,False,False,False,False
2025-11-28,26.274065058483394,14.13239589092905,0.25402389652503315,0.4247138299868643,0.42235744838478323,7.373737373737374,unknown,False,False,False,False
2025-12-01,25.696185789650194,13.48140078337316,0.24993106539514678,0.42161715486383916,0.40540896735546145,7.01010101010101,unknown,False,False,False,False
2025-12-02,25.697324066903242,13.600689585063044,0.24961439335106592,0.4364999205080006,0.39039588603901815,6.606060606060606,unknown,False,False,False,False
2025-12-03,25.7131140228353,13.597188857933478,0.2497022591912864,0.43260335616192763,0.3997023377940097,6.747474747474747,unknown,False,False,False,False
2025-12-04,25.68627013441961,13.664815558218752,0.24937355809472625,0.4227028596312964,0.404714391113311,6.707070707070707,unknown,False,False,False,False
2025-12-05,25.39657043994444,13.345332499192423,0.24672902031669858,0.4025355889047491,0.39369250816007384,6.505050505050505,unknown,False,False,False,False
2025-12-08,25.53161482146608,13.472897624396442,0.24773163341644,0.40483715050565144,0.38860503183261663,6.626262626262626,unknown,False,False,False,False
2025-12-09,25.65451636001049,13.547633908626985,0.2488537921917203,0.388113338563789,0.38776967258183587,6.7272727272727275,unknown,False,False,False,False
2025-12-10,25.86158996202858,16.21676236720189,0.2452083744883471,0.43050814665358406,0.31052759216752085,5.434343434343434,unknown,False,False,False,False
2025-12-11,27.081180416307603,21.50465887879964,0.2499985580633076,0.4538058917718359,0.3511089700813021,4.8686868686868685,unknown,False,False,False,False
2025-12-12,27.205578560550798,21.697280668091455,0.2509679390775367,0.4212532612601353,0.3389686354675117,5.111111111111111,unknown,False,False,False,False
2025-12-15,27.17054726277103,21.73840112241588,0.2501174746767765,0.45193968203101353,0.2984087566591839,4.787878787878788,unknown,False,False,False,False
2025-12-16,27.15259988660744,21.749509615592377,0.2501613060123654,0.42583212068743204,0.33359694236887216,4.707070707070707,unknown,False,False,False,False
2025-12-17,28.032543622663646,22.791265382697123,0.2579406383402977,0.3979215323171322,0.30725057116257454,5.434343434343434,unknown,False,False,False,False
2025-12-18,27.718264596168368,22.374365137630875,0.25543243416636463,0.37841025178775317,0.3420708864648258,5.212121212121212,unknown,False,False,False,False
2025-12-19,28.084407180864055,22.865885153052307,0.2585625729628518,0.364299233398238,0.3327150732676579,5.474747474747475,unknown,False,False,False,False
2025-12-22,28.24467312318015,22.934734934763902,0.26046676183113476,0.39417602608560637,0.37447246594344163,5.616161616161616,unknown,False,False,False,False
2025-12-23,28.77123040134523,23.388202320972738,0.2644528392350394,0.37113276895398506,0.34641099810352927,6.08080808080808,unknown,False,False,False,False
2025-12-24,28.57019670252768,23.114933254756863,0.26315292681143687,0.38277633101851855,0.32828183463796556,5.818181818181818,unknown,False,False,False,False
2025-12-26,28.728218636017125,23.246074519219235,0.26453465751380073,0.37773923295808814,0.33639731001319023,6.0,unknown,False,False,False,False
2025-12-29,27.61789451938364,21.99824692609877,0.2546331050186667,0.4038549052421426,0.32088809732380996,5.2727272727272725,unknown,False,False,False,False
2025-12-30,26.93185096613947,21.2031531129401,0.2479290303428849,0.41277789060913306,0.32378089000192384,5.111111111111111,unknown,False,False,False,False
2025-12-31,26.882648107185283,21.14071335485049,0.24737039086185983,0.42801010602021206,0.3111573858786869,5.1313131313131315,unknown,False,False,False,False
2026-01-02,26.85793941971894,21.108718582832488,0.2471508366084971,0.4360955535824056,0.33098006645264116,4.888888888888889,unknown,False,False,False,False
2026-01-05,26.593760589338274,20.524884868429798,0.2445644547810263,0.4645839431139271,0.33563978231303654,4.8686868686868685,unknown,False,False,False,False
2026-01-06,26.115997485564506,20.60540974648051,0.2408427717141951,0.47897251155141357,0.35604223278795083,4.565656565656566,unknown,False,False,False,False
2026-01-07,26.2049983133588,20.55308142996863,0.24167164391233517,0.4516678208679593,0.326945664351694,4.606060606060606,unknown,False,False,False,False
2026-01-08,25.99620733066714,19.766648962081348,0.2403744457964767,0.5014377928371775,0.33466735944454307,4.505050505050505,unknown,False,False,False,False
2026-01-09,25.532688149805104,19.303723484341603,0.23666590283521277,0.5071884801172134,0.3276733037873858,4.222222222222222,unknown,False,False,False,False
2026-01-12,23.8373804341607,17.10784813704396,0.22334378998908772,0.5803806228373701,0.32997554699871995,3.4343434343434343,unknown,False,False,False,False
2026-01-13,23.876131605758573,17.035557019340047,0.2237873610933567,0.5696393140589568,0.27790324449016635,3.393939393939394,unknown,False,False,False,False
2026-01-14,23.412294838804193,16.64890516739882,0.22006138624507285,0.5934388842594623,0.2908279381541414,3.0505050505050506,unknown,False,False,False,False
2026-01-15,23.240894696492056,16.574105357400317,0.21809616887720468,0.607100691516276,0.28819936912628535,3.111111111111111,unknown,False,False,False,False
2026-01-16,23.10639768887531,16.37653028255984,0.21715530360742502,0.5962837837837838,0.2794026119783695,2.98989898989899,unknown,False,False,False,False
2026-01-19,23.158928426914756,16.23447204876529,0.2176024792979692,0.6110187025842834,0.2872188054897502,3.1717171717171717,unknown,False,False,False,False
2026-01-20,22.725269737917294,14.934364295317035,0.2154065985024952,0.6391044020914152,0.2927339775824624,3.111111111111111,unknown,False,False,False,False
2026-01-21,22.606132862403236,14.836119664265574,0.2141213060816344,0.603037293348712,0.3030470651682773,3.090909090909091,unknown,False,False,False,False
2026-01-22,22.46013823081531,14.68855538267381,0.21367934399493854,0.6276917679049164,0.3021482003140695,3.0505050505050506,unknown,False,False,False,False
2026-01-23,23.016390164796668,15.490334983847639,0.21835955492466116,0.6453900709219859,0.2970491349279228,2.8484848484848486,unknown,False,False,False,False
2026-01-26,22.946801180062934,15.432502016156521,0.2177107656328996,0.6447133505256893,0.2756803241651727,2.8686868686868685,unknown,False,False,False,False
2026-01-27,23.023880814265453,15.275947889011809,0.21856936431384644,0.6151099039283738,0.27176527176527177,2.8484848484848486,unknown,False,False,False,False
2026-01-28,23.238980073543615,15.793163848242035,0.21929256757763096,0.6145587486695359,0.2694764270521846,2.9696969696969697,unknown,False,False,False,False
2026-01-29,23.663522586936168,16.34902567681368,0.22262048631237835,0.5818823735801062,0.28968982756861544,3.0505050505050506,unknown,False,False,False,False
2026-01-30,23.255563766008848,15.905817957289207,0.21945114338535252,0.539513330898466,0.2927169351411776,2.98989898989899,unknown,False,False,False,False
2026-02-02,23.434824574845265,16.042939542591245,0.22080651395149614,0.5769922371825797,0.29037696310423583,3.0505050505050506,unknown,False,False,False,False
2026-02-03,24.08523363686151,16.22806023305694,0.22762160665339523,0.5538235294117647,0.2589954377833166,3.4343434343434343,unknown,False,False,False,False
2026-02-04,23.99415971010209,15.964224594043355,0.2261813924552921,0.5563808869885459,0.27259166198560136,3.6161616161616164,unknown,False,False,False,False
2026-02-05,24.406782275388416,16.436660528615562,0.22896229060222667,0.5155634002422118,0.3359417848277028,3.9797979797979797,unknown,False,False,False,False
2026-02-06,25.35626004941603,17.45812555042162,0.23730945899833097,0.48578470375904825,0.37067587789512924,4.585858585858586,unknown,False,False,False,False
2026-02-09,25.67852552123508,17.735948373264193,0.24086995359877236,0.5000538638322322,0.34682070248258445,4.767676767676767,unknown,False,False,False,False
2026-02-10,25.988814147026673,18.074606090500204,0.24323067880324864,0.48435739115252135,0.3468210323379664,5.070707070707071,unknown,False,False,False,False
2026-02-11,24.967167070488067,16.813788908394404,0.23436007516471377,0.482740518337048,0.36018992725766347,4.707070707070707,unknown,False,False,False,False
2026-02-23,24.95890720626616,16.799782997360985,0.2343587442820963,0.4872612041647804,0.36417088226357386,4.747474747474747,normal,False,False,False,False
2026-02-24,23.413925311572328,14.866296586493657,0.22236938306000986,0.5798993394149103,0.3071939844667117,3.7777777777777777,abnormal,False,False,False,False
2026-02-25,23.967137353845835,15.482239994723518,0.2263792264942122,0.5363940329218108,0.30985778432302497,4.363636363636363,abnormal,False,False,False,False
2026-02-26,22.97148851218998,13.950484371633273,0.21948238168841025,0.580922093821852,0.3271240543967817,3.696969696969697,abnormal,False,False,False,False
2026-03-02,19.455054613694465,10.10954627961295,0.1931406502771269,0.6697213490329799,0.2710036876703543,2.7676767676767677,abnormal,False,False,False,False
2026-03-03,19.12811437373216,9.890487331773922,0.1902215690540231,0.6341286682883909,0.2620089786756454,2.808080808080808,abnormal,False,False,False,False
2026-03-04,19.988970929759105,10.811685414322316,0.1961305685520376,0.6325183782579639,0.2539041205707872,2.707070707070707,abnormal,False,False,False,False
2026-03-05,25.15432302142296,16.681564133981063,0.2380714306504987,0.4691887735486351,0.37513909159262954,5.151515151515151,abnormal,False,False,False,False
2026-03-06,25.901892800914894,17.551783981509164,0.24543862616784906,0.46695224161872645,0.3855859784098831,5.737373737373737,abnormal,False,False,False,False
