N,trial,sum_abs_f,max_abs_f,n_active,mean_f,lam
20,7,7.881168344147123,0.9515681315318435,20,0.18052080218119732,0.21317211342391004
20,8,7.0571543210106364,0.9806026886088699,20,0.18238008658317634,0.2059851805687857
20,9,7.377185482757341,1.2794718226069488,20,0.24522767732525294,0.2532766893985836
20,10,5.84112911170824,0.6917242084492363,20,0.1969078259801284,0.27025566820805247
20,11,8.514138737960272,1.2761500843608309,20,0.21600382237587282,0.22473150505670486
20,12,5.6530129823915996,0.8376290038616798,19,0.21640127180159655,0.25273404166538
20,13,6.820922846428776,1.29899750963884,20,0.23082752244702448,0.22652987204806516
20,14,7.968280364760741,1.1191296724077155,20,0.08081802478821043,0.21075224410749221
20,15,7.817114795990802,1.0709806423563708,19,0.20160773586092554,0.1949711862188514
20,16,6.319753065828102,1.1843120731848389,20,0.15880285756135026,0.2194181238354059
20,17,6.714666371789576,1.2248132203451199,20,0.1768494054767818,0.2599063157923058
20,18,7.55214112433571,0.885421833121541,19,0.13238463059549116,0.21661893284743172
20,19,7.66671366519217,1.0661427976686155,19,0.1365176411254955,0.17491314214427914
20,20,5.870334641192048,0.9005201482250408,20,0.16001856419868538,0.2234575958085248
20,21,7.748554639153445,1.0611371474612186,20,0.18599958153430612,0.21866154412453156
20,22,7.9556206201485695,1.2035528730996152,20,0.26981256426648775,0.23363364668817005
20,23,7.509932094612579,0.8756113085315888,20,0.17243234375366628,0.21688676790102565
20,24,6.4782791599895795,0.7401830379957781,20,0.1752893205850256,0.2285970176618873
20,25,7.507641464566378,0.8622764741743164,20,0.13761570695950442,0.24940240165160038
20,26,5.881351465581014,0.8427585367853658,19,0.17136344674701434,0.19911585356825723
20,27,6.785056491803632,0.9644182034011205,18,0.216333528330014,0.20508699139206507
20,28,7.409404887070794,1.2068958713995463,19,0.10703016594868178,0.21284275179610268
20,29,7.838384383426902,1.2830785382295267,20,0.2535803297651923,0.2424702391825388
30,0,10.187244057780246,1.3585612889728986,29,0.11566998405231568,0.19505116900574934
30,1,11.990037780476179,1.2795307239014453,29,0.2169330115239296,0.2181656540174752
30,2,10.121399676618243,0.9000498389862877,30,0.10515888028093508,0.21723291168225947
30,3,10.847008538367868,1.3338140077446854,30,0.16847654861863529,0.2110759382025479
30,4,10.951672294142933,1.2330581533020288,30,0.0871714627064258,0.1854416965849694
30,5,10.197924406937908,1.1146080703784347,30,0.1253174677017171,0.20624378263468318
30,6,12.06612497321548,1.2815543429397747,29,0.16022641790182574,0.2230926553969847
30,7,8.717714654468232,1.359803316947066,29,0.15589023127847382,0.2306178888781954
30,8,9.665880294463173,0.812148460347177,28,0.1655922190149878,0.23552760948185056
30,9,11.040998699941936,1.0997768612260825,30,0.11140545747501171,0.19683623004643236
30,10,10.062390532982059,0.8051103736081466,30,0.18462418065132472,0.23203859947144587
30,11,10.88133538418234,0.9635720601432171,30,0.2024565135456081,0.22522023606726804
30,12,10.411269992878168,0.9905732849621403,30,0.17055761242146544,0.19050834586188228
30,13,10.788470065601018,0.7953801991998899,28,0.19893267572975215,0.2210544962692585
30,14,12.75690750123982,1.294183818105503,30,0.1219909731403142,0.20299792146849255
30,15,9.69169928834393,1.2301081943367111,30,0.11309486937148372,0.2037052359968801
30,16,10.309148436819054,1.1726133257012765,29,0.16091029827989534,0.22995683876086248
30,17,7.733440722986551,0.7922262015515381,30,0.09600191150330736,0.20005308862572774
30,18,9.388510947793813,0.8582553363515922,29,0.17416801285591682,0.2313545434273287
30,19,8.760642995935171,0.8040267017355673,29,0.1398269743543845,0.197086479494542
30,20,9.880225402670671,1.0135233433796145,29,0.12932712535468419,0.19455600986426372
30,21,10.422057725167122,0.9886037274535225,29,0.14028232171444852,0.2094402850321338
30,22,10.722481819523669,1.3207102335738414,30,0.14638321038588004,0.23394614634273586
30,23,11.547494970334924,1.287084541373133,29,0.15805677682984012,0.24735835363995481
30,24,9.914968092604687,1.1692900145104974,30,0.16809608431405607,0.21947358820500762
30,25,11.108086757916546,1.083848859142859,30,0.11519413242033781,0.20841452399395724
30,26,10.13800071449862,1.2871519035792909,30,0.1124153195361532,0.20960505323728498
30,27,10.0025875333342,0.7305849191245773,29,0.17225401617024588,0.23146666431559415
30,28,11.264965629844891,1.2645666360055445,30,0.1663939907515835,0.20943199882096783
30,29,10.056375318918175,1.2508959537661104,29,0.1071910003838591,0.21983457258159522
50,0,15.32677746366662,1.3610336848223035,50,0.08890645205932123,0.20880862595417715
50,1,15.78940968660189,1.2729407065439153,50,0.11895791934335508,0.22538855767446228
