date,n_nodes,n_edges,density,n_triangles,n_4cliques,avg_clustering,transitivity,triangles_per_node,panic,pre_panic,normal
2022-02-10,80,66,0.02088607594936709,15,1,0.16859848484848486,0.22959183673469388,0.1875,0,0,1
2022-02-17,80,83,0.026265822784810128,29,3,0.24200487012987013,0.29,0.3625,0,0,1
2022-02-24,80,100,0.03164556962025317,48,7,0.2507394851880146,0.28180039138943247,0.6,0,0,1
2022-03-04,80,132,0.04177215189873418,67,7,0.29618291909240185,0.2129237288135593,0.8375,0,1,0
2022-03-11,80,383,0.12120253164556961,818,130,0.48208869701763646,0.3814112527199254,10.225,0,1,0
2022-03-18,80,644,0.20379746835443038,2722,241,0.5600033696007751,0.5031113301706611,34.025,0,1,0
2022-03-25,80,576,0.18227848101265823,2131,228,0.5420477141555043,0.47691160014919803,26.6375,0,1,0
2022-04-01,80,536,0.16962025316455695,1793,183,0.5309567138199089,0.45270156539303147,22.4125,0,1,0
2022-04-12,80,557,0.17626582278481012,2101,211,0.5837501030642283,0.4811083123425693,26.2625,0,1,0
2022-04-19,80,658,0.20822784810126582,3062,317,0.6037109645998904,0.5306146025878004,38.275,0,1,0
2022-04-26,80,893,0.28259493670886077,5625,546,0.6168041743324432,0.593834676426083,70.3125,0,1,0
2022-05-03,80,790,0.25,4296,311,0.6091485009336697,0.5580670303975058,53.7,0,1,0
2022-05-10,80,845,0.2674050632911392,5371,296,0.6772120589464007,0.5978627880227079,67.1375,1,1,0
2022-05-17,80,724,0.2291139240506329,3821,287,0.6250628499707853,0.5593617332747768,47.7625,1,1,0
2022-05-24,80,717,0.22689873417721518,3848,246,0.630701854269629,0.574042764793635,48.1,1,1,0
2022-05-31,80,813,0.2572784810126582,5140,434,0.6795135975445926,0.6092453575661794,64.25,0,1,0
2022-06-08,80,498,0.15759493670886077,2010,168,0.5535461386177426,0.5512386872657464,25.125,0,1,0
2022-06-15,80,354,0.1120253164556962,973,87,0.4840607565301471,0.48399933676007295,12.1625,0,1,0
2022-06-22,80,529,0.16740506329113924,2017,163,0.5905052600112135,0.5192654252123916,25.2125,0,1,0
2022-06-29,80,652,0.20632911392405062,2878,271,0.5767705482400116,0.5364065606361829,35.975,1,1,0
2022-07-06,80,807,0.255379746835443,4400,410,0.6039326167836823,0.5682796624763217,55.0,1,1,0
2022-07-13,80,982,0.31075949367088607,6871,561,0.6299095341484098,0.6166756417160294,85.8875,1,1,0
2022-07-20,80,982,0.31075949367088607,6904,479,0.67183035435673,0.6196559461480927,86.3,1,1,0
2022-07-27,80,1078,0.3411392405063291,8926,445,0.6871304933365017,0.6725943787205184,111.575,0,1,0
2022-08-03,80,1011,0.3199367088607595,7812,372,0.664391577370783,0.6560295599596909,97.65,0,1,0
2022-08-10,80,1096,0.3468354430379747,9068,447,0.6650083317801292,0.6668300813805275,113.35,0,1,0
2022-08-17,80,1017,0.3218354430379747,8351,467,0.6729021795179096,0.6820669189512946,104.3875,0,1,0
2022-08-24,80,892,0.28227848101265823,6603,384,0.5998312564896054,0.6676215833642277,82.5375,0,1,0
2022-08-31,80,989,0.3129746835443038,7768,552,0.6281557361682747,0.6689439389155208,97.1,0,1,0
2022-09-07,80,951,0.3009493670886076,7093,490,0.6057440402988049,0.6555452865064695,88.6625,1,1,0
2022-09-15,80,870,0.27531645569620256,6273,273,0.5854668926374866,0.6614762741652022,78.4125,1,1,0
2022-09-22,80,809,0.2560126582278481,5374,218,0.6113847770003542,0.6377625697219036,67.175,1,1,0
2022-09-29,80,914,0.2892405063291139,6456,274,0.6267890363939446,0.6421963592957326,80.7,1,1,0
2022-10-06,80,692,0.2189873417721519,3506,229,0.5268938195017355,0.5782933802507148,43.825,1,1,0
2022-10-14,80,877,0.27753164556962023,5305,347,0.5897170473297443,0.5872260349789683,66.3125,1,1,0
2022-10-21,80,830,0.2626582278481013,5100,311,0.6062677998562636,0.6091976906231336,63.75,1,1,0
2022-10-28,80,921,0.29145569620253164,6240,357,0.6228103992751722,0.6253340459647247,78.0,1,0,0
2022-11-04,80,926,0.2930379746835443,6362,372,0.6581665009290483,0.6307127986517299,79.525,1,0,0
2022-11-11,80,931,0.294620253164557,6251,505,0.674552807380979,0.6177284406087358,78.1375,0,0,1
2022-11-18,80,914,0.2892405063291139,6038,515,0.6781889202817505,0.6150555159417337,75.475,0,0,1
